发起人,题干,选项综合,项目名称
HYSkyline,下雨天更愿意呆在哪里,在车站||在床里,char
HYSkyline,更愿意驻留的时间段,白昼||黑夜,char
HYSkyline,对一片无垠水面的第一印象,海洋||湖泊,char
HYSkyline,一次考试的成绩在何时确定,终场铃声响起||排名公布之时,char
HYSkyline,日常生活中更应该做什么,讲述||倾听,char
HYSkyline,在团队中想成为的角色,输出||辅助,char
HYSkyline,对于美好的人/事/物应该做些什么,接近、追求、占有||远望以保持美好,char
HYSkyline,山的那边是什么,山||海,char
HYSkyline,漫长的生活是否有目标,もちろん!||……,char
HYSkyline,你最珍贵的是什么，你想得到什么,人之间的联系||事或物的记忆,char
HYSkyline,人的一生需要追寻什么,苟全于乱世||闻达于诸侯,char
HYSkyline,骓不逝兮可奈何，虞兮虞兮奈若何,天命自在我，安能由天定||天命势大，吾且退避……,char
HYSkyline,必须得到的人/事/物是否真的存在,是||否,char
HYSkyline,热爱现在的学习或工作,并不||是的,char
HYSkyline,人与人是否可以完全或接近完全理解,必将实现||不理解这个问题,char
HYSkyline,人的精神是否需要明确寄托(宗教/政党信仰……),人只需要自己||外界的依赖是必要的,char
HYSkyline,身边共患难的朋友是否存在,与彼同袍||不需要,char
HYSkyline,在未征求孩子意见前生育是否错误,并不||无法避免的错误,char
HYSkyline,在踏上未知旅程时应该做什么,一往无前||先思退路,char
HYSkyline,真理或知识的认识是否让人类更痛苦,是||否,char
HYSkyline,我或者人类是否真的存在,我思故我在||不确定,char
HYSkyline,今朝的我与昨日的我是否同一,是||否,char
HYSkyline,民主是什么，民主的实现,少数服从多数||少数代表多数,char
HYSkyline,是否所有发生的事件都有原因,因果循环||缺少第一原因,char
HYSkyline,科学和宗教的区别或界限,科学可以实现||不确定,char
