项目名称,题干,选项,指标综合
char,下雨天更愿意呆在哪里,在车站,2||6||8||12||3||11||8||4
char,下雨天更愿意呆在哪里,在床里,10||4||2||1||7||3||7||7
char,更愿意驻留的时间段,白昼,3||11||12||8||6||9||7||8
char,更愿意驻留的时间段,黑夜,7||4||4||3||6||3||5||4
char,对一片无垠水面的第一印象,海洋,2||7||7||6||2||11||4||5
char,对一片无垠水面的第一印象,湖泊,9||5||6||4||11||4||6||9
char,一次考试的成绩在何时确定,终场铃声响起,5||8||9||8||7||7||5||7
char,一次考试的成绩在何时确定,排名公布之时,7||5||4||3||10||6||8||5
char,日常生活中更应该做什么,讲述,4||11||9||4||1||7||5||5
char,日常生活中更应该做什么,倾听,7||5||5||5||12||8||8||9
char,在团队中想成为的角色,输出,6||10||11||12||4||5||6||6
char,在团队中想成为的角色,辅助,8||4||4||2||6||4||9||7
char,对于美好的人/事/物应该做些什么,接近、追求、占有,6||10||8||12||4||8||6||5
char,对于美好的人/事/物应该做些什么,远望以保持美好,8||3||5||1||10||6||4||8
char,山的那边是什么,山,8||5||4||9||6||4||8||9
char,山的那边是什么,海,5||6||6||5||3||10||6||5
char,漫长的生活是否有目标,もちろん!,6||7||8||12||6||6||6||4
char,漫长的生活是否有目标,……,9||5||6||1||8||5||8||11
char,你最珍贵的是什么，你想得到什么,人之间的联系,6||12||6||2||2||7||8||5
char,你最珍贵的是什么，你想得到什么,事或物的记忆,9||3||9||12||9||6||6||9
char,人的一生需要追寻什么,苟全于乱世,8||4||7||3||10||2||7||11
char,人的一生需要追寻什么,闻达于诸侯,5||8||4||9||5||9||5||2
char,骓不逝兮可奈何，虞兮虞兮奈若何,天命自在我，安能由天定,6||6||7||11||6||8||8||3
char,骓不逝兮可奈何，虞兮虞兮奈若何,天命势大，吾且退避……,8||5||6||2||7||3||6||11
char,必须得到的人/事/物是否真的存在,是,6||4||6||12||6||7||4||2
char,必须得到的人/事/物是否真的存在,否,7||8||4||2||7||6||8||8
char,热爱现在的学习或工作,并不,4||6||9||10||7||8||6||9
char,热爱现在的学习或工作,是的,8||7||4||6||5||5||8||4
char,人与人是否可以完全或接近完全理解,必将实现,6||11||6||7||8||12||6||8
char,人与人是否可以完全或接近完全理解,不理解这个问题,7||6||7||6||6||2||7||5
char,人的精神是否需要明确寄托(宗教/政党信仰……),人只需要自己,5||4||9||8||5||6||9||6
char,人的精神是否需要明确寄托(宗教/政党信仰……),外界的依赖是必要的,9||5||6||4||7||4||4||8
char,身边共患难的朋友是否存在,与彼同袍,10||8||5||7||10||11||6||6
char,身边共患难的朋友是否存在,不需要,2||5||8||10||4||1||7||4
char,在未征求孩子意见前生育是否错误,并不,6||8||7||7||9||9||5||3
char,在未征求孩子意见前生育是否错误,无法避免的错误,6||6||6||4||6||4||8||11
char,在踏上未知旅程时应该做什么,一往无前,3||7||4||12||4||9||5||2
char,在踏上未知旅程时应该做什么,先思退路,10||5||8||2||9||3||7||8
char,真理或知识的认识是否让人类更痛苦,是,6||2||5||2||3||6||10||11
char,真理或知识的认识是否让人类更痛苦,否,8||10||7||11||8||9||2||1
char,我或者人类是否真的存在,我思故我在,6||7||8||11||6||8||6||5
char,我或者人类是否真的存在,不确定,7||6||6||2||7||6||7||8
char,今朝的我与昨日的我是否同一,是,9||8||5||6||10||3||6||9
char,今朝的我与昨日的我是否同一,否,4||4||6||7||2||10||7||4
char,民主是什么，民主的实现,少数服从多数,8||9||5||1||9||3||6||4
char,民主是什么，民主的实现,少数代表多数,4||3||6||9||3||9||5||8
char,是否所有发生的事件都有原因,因果循环,9||5||8||2||6||9||8||9
char,是否所有发生的事件都有原因,缺少第一原因,3||7||4||10||8||4||4||4
char,科学和宗教的区别或界限,科学可以实现,8||6||4||4||6||7||8||5
char,科学和宗教的区别或界限,不确定,4||8||9||10||7||6||4||8
